Nr.;EAN;Beschreibung;Beschreibung 2;Hersteller Kurzbeschreibung;Lagerbestand;cena
15111653;#N/D;REIFEN 400 / 60 - 15.5;14 PR, 132 A8 / 145 A8, TL, TR 800;CEAT;8,00;593,83
15111655;#N/D;REIFEN 400 / 60 - 15.5;18 PR, 137 A8 / 149 A8, TL, TR 800;CEAT;4,00;566,94
15111682;#N/D;REIFEN 480 / 45 - 17;16 PR, 134 A8 / 146 A8, TL, FLOTATION PLUS;CEAT;2,00;812,78
15111689;#N/D;REIFEN 500 / 50 - 17;14 PR, 154 A8, TL, 404;CEAT;7,00;797,72
15111695;#N/D;REIFEN 500 / 50 - 17;18 PR, 145 A8 / 157 A8, TL, FLOTATION T422;CEAT;;,00
15112569;#N/D;REIFEN 400 / 55 - 22.5;16 PR, 140 A8 / 152 A8, TL, T422 VALUE PRO;CEAT;2,00;941,61
15112575;#N/D;REIFEN 500 / 45 - 22.5;16 PR, 140 A8 / 152 A8, TL, T422 VALUE PRO;CEAT;4,00;1 043,21
15112580;#N/D;REIFEN 500 / 60 - 22.5;16 PR, 151 A8 / 163 A8, TL, FLOTATION T422;CEAT;4,00;1 474,56
15112591;#N/D;REIFEN 550 / 45 - 22.5;16 PR, 147 A8 / 159 A8, TL, T422 VALUE PRO;CEAT;4,00;1 069,50
15112598;#N/D;REIFEN 550 / 45 - 22.5;20 PR, 154 A8 / 166 A8, TL, FLOTATION T422;CEAT;1,00;1 608,56
15112602;#N/D;REIFEN 500 / 60 - 22.5;16 PR, 147 A8 / 159 A8, TL, T422 VALUE PRO;CEAT;4,00;1 405,61
15112614;#N/D;REIFEN 550 / 60 - 22.5;16 PR, 155 A8 / 168 A8, TL, FLOTATION T422;CEAT;6,00;1 406,06
15112625;#N/D;REIFEN 550 / 60 - 22.5;16 PR, 155 A8 / 166 A8, TL, T422 VALUE PRO;CEAT;10,00;1 334,83
15112655;#N/D;REIFEN 700 / 50 - 22.5;16 PR, 162 A8 / 174 A8, TL, FLOTATION  T422;CEAT;2,00;2 294,83
15112831;#N/D;REIFEN 700 / 50 - 26.5;16 PR, 162 A8 / 174 A8, TL, FLOTATION  T422;CEAT;1,00;2 981,72
15112870;#N/D;REIFEN 800 / 45 - 26.5;16 PR, 164 A8 / 177 A8, TL, FLOTATION  T422;CEAT;4,00;2 955,56
15116211;#N/D;REIFEN 560 / 45 R 22.5;152 D, TL, FLOATMAX;CEAT;4,00;1 863,61
15116225;#N/D;REIFEN 560 / 60 R 22.5;161 D, TL, FLOATMAX;CEAT;4,00;2 354,00
15116241;#N/D;REIFEN 600 / 50 R 22.5;159 D, TL, FLOATMAX;CEAT;6,00;2 478,22
15122154;#N/D;REIFEN 8.3 - 24;8 PR, 105 A8,  TT, FARMAX;CEAT;1,00;287,28
15122172;#N/D;REIFEN 9.5 - 24;8 PR, 112 A8, TT, FARMAX;CEAT;20,00;385,56
15122191;#N/D;REIFEN 11.2 - 24;8 PR, 116 A8, TT, FARMAX;CEAT;10,00;433,94
15122192;#N/D;REIFEN 12.4 - 24;8 PR, 121 A8, TT, FARMAX;CEAT;;,00
15122211;#N/D;REIFEN 13.6 - 24;8 PR, 122 A8, TT, FARMAX;CEAT;6,00;630,25
15122213;#N/D;REIFEN 14.9 - 24;8 PR, 128 A8, TT, FARMAX;CEAT;;,00
15122214;#N/D;REIFEN 14.9 - 24;8 PR, 123 A8, TT, IRR-O-GATOR;CEAT;;,00
15122267;#N/D;REIFEN 16.9 - 24;8 PR, 133 A8, TT, FARMAX;CEAT;6,00;931,83
15122301;#N/D;REIFEN 18.4 - 26;12 PR, 146 A8,  TT, FARMAX;CEAT;4,00;1 351,33
15122435;#N/D;REIFEN 12.4 - 28;8 PR, 123 A8, TT, FARMAX;CEAT;;,00
15122458;#N/D;REIFEN 13.6 - 28;8 PR, 125 A8, TT, FARMAX;CEAT;6,00;783,89
15122481;#N/D;REIFEN 14.9 - 28;8 PR, 130 A8, TT, FARMAX;CEAT;;,00
15122531;#N/D;REIFEN 16.9 - 28;12 PR, 143 A8, TT, FARMAX;CEAT;4,00;1 290,67
15122733;#N/D;REIFEN 18.4 - 34;8 PR, 142 A8, TT, FARMAX;CEAT;1,00;1 426,06
15122784;#N/D;REIFEN 15.5 - 38;8 PR, 133 A8, TT, FARMAX;CEAT;2,00;1 044,44
15122803;#N/D;REIFEN 16.9 - 38;10 PR, 143 A8, TT, FARMAX;CEAT;;,00
15122804;#N/D;REIFEN 18.4 - 38;8 PR, 143 A8, TT, FARMAX;CEAT;4,00;1 672,84
15125020;#N/D;REIFEN 340 / 65 R 20;124 D, TL, FARMAX R65;CEAT;2,00;1 025,93
15125106;#N/D;REIFEN 480 / 65 R 28;142 D / 145 A8, TL, FARMAX R65;CEAT;2,00;2 160,49
15126070;#N/D;REIFEN 210 / 95 R 32;117 D / 120 A8, TL, FARMAX RC;CEAT;6,00;749,11
15126100;#N/D;REIFEN 230 / 95 R 32;128 D / 131 A8, TL, FARMAX RC;CEAT;4,00;886,28
15126125;#N/D;REIFEN 270 / 95 R 32;133 D / 136 A8, TL, FARMAX RC;CEAT;8,00;992,56
15126150;#N/D;REIFEN 230 / 95 R 36;130 D / 133 A8, TL, FARMAX RC;CEAT;2,00;1 081,11
15126165;#N/D;REIFEN 270 / 95 R 36;136 D / 139 A8, TL, FARMAX RC;CEAT;4,00;1 344,78
15126255;#N/D;REIFEN 230 / 95 R 44;134 D / 137 A8, TL, FARMAX RC;CEAT;6,00;1 308,83
15126335;#N/D;REIFEN 230 / 95 R 48;136 D / 139 A8, TL, FARMAX RC;CEAT;4,00;1 241,98
15126365;#N/D;REIFEN 270 / 95 R 48;142 D / 145 A8, TL, FARMAX RC;CEAT;8,00;1 411,11
15126395;#N/D;REIFEN 340 / 85 R 48;148 D / 151 A8, TL, FARMAX RC;CEAT;4,00;2 286,42
15126733;#N/D;REIFEN 540 / 65 R 24;146 D, TL, FARMAX R65;CEAT;6,00;2 130,83
15126748;#N/D;REIFEN 540 / 65 R 28;149 D, TL, FARMAX R65;CEAT;4,00;2 663,22
15126753;#N/D;REIFEN 600 / 65 R 28;154 D, TL, FARMAX R65;CEAT;16,00;3 280,78
15126757;#N/D;REIFEN 440 / 65 R 28;138 D, TL, FARMAX R65;CEAT;2,00;1 711,11
15126771;#N/D;REIFEN 540 / 65 R 30;150 D, TL,  FARMAX R65;CEAT;6,00;2 226,54
15126786;#N/D;REIFEN 540 / 65 R 34;152 D, TL, FARMAX R65;CEAT;2,00;2 741,17
15126793;#N/D;REIFEN 600 / 65 R 38;153 D, TL, FARMAX R65;CEAT;4,00;3 595,17
15126799;#N/D;REIFEN 540 / 65 R 38;153 D, TL, FARMAX R65;CEAT;4,00;3 137,78
15126811;#N/D;REIFEN 600 / 65 R 34;157 D, TL, FARMAX R65;CEAT;6,00;3 905,33
15126812;#N/D;REIFEN 650 / 65 R 38;157 D, TL, FARMAX R65;CEAT;;,00
15127412;#N/D;REIFEN 420 / 80 R 46;159 D / 162 A8, TL, FARMAX R80;CEAT;6,00;4 498,78
15127525;#N/D;REIFEN 250 / 85 R 20;116 A8 / B, TL, FARMAX R85;CEAT;4,00;581,94
15127834;#N/D;REIFEN 360 / 70 R 28;125 A8 / B, TL, FARMAX R70;CEAT;2,00;1 172,94
15127865;#N/D;REIFEN 480 / 70 R 30;147 D / 150 A8, TL, FARMAX R70;CEAT;4,00;2 195,89
15128551;#N/D;REIFEN 280 / 85 R 24;115 A8 / B, TL, FARMAX R85;CEAT;2,00;721,67
15128581;#N/D;REIFEN 380 / 85 R 24;131 A8 / B, TL, FARMAX R85;CEAT;2,00;1 093,21
15128594;#N/D;REIFEN 420 / 85 R 24;137 A8 / B, TL, FARMAX R85;CEAT;2,00;1 542,50
15128691;#N/D;REIFEN 420 / 85 R 34;142 A8 / B, TL, FARMAX R85;CEAT;2,00;1 840,12
15128701;#N/D;REIFEN 460 / 85 R 34;147 A8 / B, TL, FARMAX R85;CEAT;2,00;2 360,83
15128731;#N/D;REIFEN 420 / 85 R 38;144 A8 / B, TL, FARMAX R85;CEAT;2,00;2 036,42
15128741;#N/D;REIFEN 460 / 85 R 38;149 A8 / B, TL, FARMAX R85;CEAT;2,00;2 315,00
15128820;#N/D;REIFEN 320 / 70 R 24;116 A8 / B, TL, FARMAX R70;CEAT;8,00;597,83
15128825;#N/D;REIFEN 360 / 70 R 24;122 A8 / B, TL, FARMAX R70;CEAT;;,00
15128828;#N/D;REIFEN 420 / 70 R 24;130 A8 / B, TL, FARMAX R70;CEAT;1,00;1 361,17
15128830;#N/D;REIFEN 480 / 70 R 24;138 A8 / B, TL, FARMAX R70;CEAT;2,00;1 682,61
15128847;#N/D;REIFEN 480 / 70 R 28;151 A8 / B, TL, FARMAX R70;CEAT;8,00;2 003,39
15128864;#N/D;REIFEN 480 / 70 R 30;141 A8 / B, TL, FARMAX R70;CEAT;4,00;1 765,19
15128875;#N/D;REIFEN 600 / 70 R 30;152 A8 / B, TL, FARMAX R70;CEAT;6,00;3 119,33
15128879;#N/D;REIFEN 480 / 70 R 34;143 A8 / B, TL, FARMAX R70;CEAT;2,00;2 041,05
15128881;#N/D;REIFEN 520 / 70 R 34;148 A8 / B, TL, FARMAX R70;CEAT;2,00;2 667,28
15128890;#N/D;REIFEN 480 / 70 R 38;145 A8 / B, TL, FARMAX R70;CEAT;2,00;2 179,63
15128900;#N/D;REIFEN 520 / 70 R 38;150 A8 / B, TL, FARMAX R70;CEAT;1,00;2 643,02
15128915;#N/D;REIFEN 710 / 70 R 38;172 A8 / B, TL, FARMAX R70;CEAT;;,00
15128925;#N/D;REIFEN 710 / 70 R 42;173 D, TL, FARMAX R70;CEAT;6,00;6 399,89
15131071;#N/D;REIFEN 12.5 - 18;12 PR, 134 D, TL, MPT 602;CEAT;4,00;760,39
15131161;#N/D;REIFEN 12.5 - 20;12 PR, 135 D, TL, MPT 602;CEAT;;,00
15172442;#N/D;REIFEN 18.4 - 26;12 PR, TL, TYROCK;CEAT;4,00;1 731,61
15172530;#N/D;REIFEN 15.5 - 25;12 PR, TL, LOADER XL;CEAT;2,00;1 243,17
15172541;#N/D;REIFEN 13.00 - 24;12 PR, TL, GRADER XL G2/L2;CEAT;2,00;1 033,39
15172543;#N/D;REIFEN 17.5 - 25;16 PR, TL, TRAC-XL;CEAT;4,00;2 028,78
15185312;#N/D;REIFEN 460 / 70 R 24;159 A8 / B, TL, LIFT PRO;CEAT;12,00;1 697,06
15211600;#N/D;REIFEN 6.5 / 80 - 15;6 PR, 98 A6 / 94 B, TT, AS, 324;ALLIANCE;12,00;179,79
15211615;8903635012139;OPONA 10.0 / 75 - 15.3;10 PR, 129 A6 / 125 A8, TL, 320 VALUE PLUS;ALLIANCE;71,00;206,96
15211616;8903635012597;REIFEN 10.0 / 75 - 15.3;14 PR, 136 A6 / 132 A8, TL, 320 VALUE PLUS;ALLIANCE;77,00;222,19
15211621;8903635008798;REIFEN 10.0 / 75 - 15.3;18 PR, 135 A8, TL, AW 320;ALLIANCE;24,00;341,07
15211631;8903635012146;REIFEN 11.5 / 80 - 15.3;14 PR, 145 A6 / 141 A8, TL, 320 VALUE PLUS;ALLIANCE;52,00;313,22
15211633;8903635012122;REIFEN 12.5 / 80 - 15.3;14 PR, 148 A6 / 144 A8, TL, 320 VALUE PLUS;ALLIANCE;22,00;342,52
15211646;8903635009399;REIFEN 33 x 15.50 - 15;8 PR, 124 B, TL, GRASSLAND FLOTATION 221;ALLIANCE;22,00;588,22
15211647;8903635000013;REIFEN 31 x 15.50 - 15;8 PR, 118 A8 / 116 B, TL, GRASSLAND FLOTATION 221;ALLIANCE;13,00;484,48
15211656;7291050001922;REIFEN 400 / 60 - 15.5;14 PR, 153 A2 / 145 A8, TL, FORESTRY 328;ALLIANCE;;,00
15211664;8903635012290;REIFEN 400 / 60 - 15.5;16 PR, 152 A6 / 148 A8, TL, 320 VALUE PLUS;ALLIANCE;46,00;597,40
15211666;#N/D;REIFEN 360 / 65 - 16;150 A8, TL, FARMPRO 327;ALLIANCE;4,00;554,32
15211677;8903635005902;REIFEN 500 / 50 - 17;14 PR, 149 A8 / 145 B, TL, FARMPRO 327;ALLIANCE;5,00;971,26
15211683;8903635010425;REIFEN 380 / 55 - 17;12 PR, 138 A8, TL, FARMPRO 327;ALLIANCE;12,00;535,83
15211687;8903635020660;REIFEN 15.0 / 55 - 17;14 PR, 141 A6, TL, 320 VALUE PLUS;ALLIANCE;32,00;525,23
15211689;8903635020646;REIFEN 500 / 50 - 17;14 PR, 153 A6, TL, 320 VALUE PLUS;ALLIANCE;33,00;739,51
15212250;7291050039222;REIFEN 400 / 55 - 17.5;16 PR,149 A8 / 145 B, TL, FLOTATION 328;ALLIANCE;3,00;1 441,62
15212311;#N/D;REIFEN 10.5 / 80 - 18;10 PR, 135 A6, TL, 320 VALUE PLUS;ALLIANCE;4,00;411,98
15212337;8903635020653;REIFEN 12.5 / 80 - 18;16 PR, 152 A6, TL, 320 VALUE PLUS;ALLIANCE;10,00;577,79
15212485;#N/D;REIFEN 16.0 / 70 - 20;14 PR, 154 A8 / 150 B, TT, AW 320;ALLIANCE;11,00;796,30
15212555;7291050065375;REIFEN 400 / 60 - 15.5;20 PR, 159 A2 / 152 A8, TL, FORESTRY 328;ALLIANCE;3,00;1 319,83
15212559;8903635010227;REIFEN 500 / 55 - 20;12 PR, 155 A8 / 151 B, TL, FARMPRO 327;ALLIANCE;5,00;1 679,02
15212563;7291050012423;REIFEN 500 / 45 - 20;12 PR, 147 A8 / 144 B, TL, FLOTATION  331;ALLIANCE;9,00;2 338,00
15212565;7291050012553;REIFEN 500 / 45 - 20;18 PR, 164 A6 / 160 A8, TL, FLOTATION 331;ALLIANCE;6,00;2 526,54
15212567;#N/D;REIFEN 500 / 50 - 20;16 PR, 149 A8 / 145 B, TL, FLOTATION 331;ALLIANCE;4,00;2 303,72
15212575;8903635002598;REIFEN 500 / 45 - 22.5;16 PR, 154 A8 / 150 B, TL FLOTATION 328;ALLIANCE;7,00;1 247,84
15212577;8903635002659;REIFEN 500 / 60 - 22.5;16 PR, 163 A8 / 159 B, TL, FLOTATION 328;ALLIANCE;;,00
15212584;8903635021155;REIFEN 500 / 60 - 22.5;18 PR, 165 A8 / 161 B, TL, FLOTATION 328;ALLIANCE;8,00;1 638,02
15212592;7291050013253;REIFEN 550 / 45 - 22.5;12 PR, 147 A2 / 140 A8,TL, FORESTRY 331;ALLIANCE;2,00;3 103,02
15212598;8903635002611;REIFEN 550 / 45 - 22.5;16 PR, 159 A8 / 155 B, TL, FLOTATION 328;ALLIANCE;;,00
15212605;7291050000260;REIFEN 550 / 60 - 22.5;16 PR, 167 A8 / 163 B, TL, 222;ALLIANCE;2,00;2 403,58
15212610;8903635005773;REIFEN 560 / 60 - 22.5;16 PR, 169 A8 / 165 B, TL, FARMPRO 327;ALLIANCE;3,00;1 946,65
15212616;8903635003274;REIFEN 550 / 60 - 22.5;16 PR, 166 A8 / 162 B, TL, FLOTATION 328;ALLIANCE;10,00;1 523,11
15212623;4040658091360;REIFEN 550 / 60 - 22.5;16 PR, 166 A8 , TL, 328 VALUE PLUS;ALLIANCE;52,00;1 347,72
15212624;7291050013604;REIFEN 550 / 60 - 22.5;16 PR, 167 A8 / 163 B, TL, FLOTATION 331;ALLIANCE;2,00;2 960,26
15212625;#N/D;REIFEN 550 / 60 - 22.5;16 PR, 154 A8 / 166 A8, TL, 328 VALUE PLUS;ALLIANCE;26,00;1 388,95
15212631;7291050060493;REIFEN 600 / 50 - 22.5;16 PR, 156 A2 / 149 A8, TL, FORESTAR 343;ALLIANCE;4,00;3 675,01
15212638;7291050005296;REIFEN 600 / 50 - 22.5;16 PR, 158 D / 157 E, TL, FLOTATION 328;ALLIANCE;2,00;3 005,04
15212644;#N/D;REIFEN 600 / 50 - 22.5;18 PR, 174 A6 / 170 A8, TL, FLOTATION 331;ALLIANCE;8,00;4 836,78
15212648;7291050005999;REIFEN 600 / 55 - 22.5;16 PR, 166 B / 161 E, TL, FLOTATION 328;ALLIANCE;5,00;3 079,93
15212670;7291050039505;REIFEN 700 / 50 - 22.5;16 PR, 167 D / 166 E, TL, FLOTATION 328;ALLIANCE;9,00;3 746,62
15212679;#N/D;REIFEN 650 / 45 - 24.5;20 PR, 168 A2 / 161 A8, TL, FORESTAR 344, LS-2;ALLIANCE;3,00;5 514,54
15212685;7291050061018;REIFEN 710 / 40 - 24.5;20 PR, 170 A2 / 163 A8, TL, FORESTAR 344, LS-2;ALLIANCE;;,00
15212705;7291050014069;REIFEN 500 / 60 - 26.5;16 PR, 170 A2 / 163 A8, TL, FORESTRY 331;ALLIANCE;6,00;4 319,16
15212721;7291050008204;REIFEN 600 / 55 - 26.5;16 PR, 167 B / 163 C, TL, FLOTATION 328;ALLIANCE;17,00;3 400,49
15212759;7291050084581;REIFEN 710 / 45 - 26.5;20 PR, 175 A2 / 168 A8, TL, FORESTAR 344 ELIT;ALLIANCE;2,00;6 194,96
15212763;7291050060646;REIFEN 710 / 45 - 26.5;24 PR, 180 A2 / 173 A8, TL,;ALLIANCE;1,00;6 956,70
15212831;7291050009140;REIFEN 700 / 50 - 26.5;16 PR, 170 B / 166 C , TL, FLOTATION 328;ALLIANCE;15,00;3 984,95
15212848;7291050058025;REIFEN 750 / 55 - 26.5;20 PR, 184 A2 / 177 A8, TL, FORESTAR 343;ALLIANCE;;,00
15212850;7291050042871;REIFEN 800 / 40 - 26.5;20 PR, 177 A2 / 170 A8, TL, FORESTAR 344, LS-2;ALLIANCE;;,00
15212870;7291050039659;REIFEN 800 / 45 - 26.5;16 PR, 177 A8 / 173 B, TL, FLOTATION 328;ALLIANCE;2,00;4 591,38
15213600;7291050042567;REIFEN 800 / 45 - 30.5;16 PR, 179 A8 / 175 B, TL, FLOTATION 331;ALLIANCE;1,00;6 987,00
15215110;0;REIFEN 340 / 65 R 18;148 A8 / 145 E, TL, AGRO TRAILER MPT;ALLIANCE;3,00;1 070,07
15215525;7291050055208;REIFEN 500 / 60 R 22.5;155 D, TL, 390;ALLIANCE;6,00;2 896,40
15215531;#N/D;REIFEN 560 / 60 R 22.5;165 D, TL, 882;ALLIANCE;6,00;2 283,95
15215533;7291050063456;REIFEN 560 / 60 R 22.5;170 D, TL, 390 INDUSTRIAL HD;ALLIANCE;6,00;3 568,96
15215570;7291050022972;REIFEN 600 / 50 R 22.5;159 E, TL, 390;ALLIANCE;4,00;4 010,79
15215571;4040658060281;REIFEN 600 / 50 R 22.5;164 J, TL, 382;ALLIANCE;2,00;4 988,64
15215600;#N/D;REIFEN 560 / 60 R 22.5;161 E, TL, 380;ALLIANCE;2,00;2 790,12
15215630;7291050046473;REIFEN 600 / 55 R 22.5;162 E, TL, 380;ALLIANCE;1,00;4 052,19
15215642;7291050046497;REIFEN 620 / 40 R 22.5;155 D, TL, 380;ALLIANCE;7,00;3 854,37
15215650;7291050022330;REIFEN 650 / 50 R 22.5;163 E, TL, 380;ALLIANCE;2,00;4 239,67
15215690;8903635019107;REIFEN 600 / 55 R 26.5;165 E, TL, 380;ALLIANCE;;,00
15215700;8903635019114;REIFEN 650 / 55 R 26.5;167 E, TL, 380;ALLIANCE;9,00;4 609,11
15215703;7291050057004;REIFEN 650 / 55 R 26.5;178 D, TL, 380 INDUSTRIAL HD;ALLIANCE;7,00;4 922,43
15215707;7291050086417;REIFEN 650 / 55 R 26.5;177 D, TL, 390 INDUSTRIAL HD;ALLIANCE;2,00;5 172,53
15215736;7291050082990;REIFEN VF 650 / 60 R 26.5;174 D, TL, AGRIFLEX 389 +;ALLIANCE;4,00;6 020,77
15215737;7291050057486;REIFEN 650 / 65 R 26.5;181 D, TL, 380 INDUSTRIAL HD;ALLIANCE;2,00;6 703,42
15215739;4040658063176;REIFEN 650 / 65 R 26.5;174 D, TL, 380;ALLIANCE;2,00;6 014,74
15215740;7291050022552;REIFEN 650 / 60 R 26.5;173 D, TL, 380;ALLIANCE;2,00;5 327,81
15215742;7291050048668;REIFEN 650 / 65 R 26.5;174 D, TL, 380 INDUSTRIAL HD;ALLIANCE;2,00;5 795,37
15215743;7291050060554;REIFEN 650 / 65 R 26.5;165 D, TL, 388;ALLIANCE;2,00;5 314,96
15215800;7291050022873;REIFEN 750 / 60 R 30.5;181 D, TL, 390;ALLIANCE;4,00;8 071,72
15215801;7291050057363;REIFEN 750 / 60 R 30.5;190 D, TL, 390 INDUSTRIAL HD;ALLIANCE;2,00;9 002,23
15215808;8903635018896;REIFEN 800 / 45 R 30.5;176 D, TL, 885;ALLIANCE;;,00
15215825;7291050022859;REIFEN 28 LR 26;176 A8 / 173 B, TL, 390;ALLIANCE;8,00;6 747,96
15216050;7291050060622;IMP-OPONA 500 / 50 R 17;146 D, TL, FLOTMASTER 381;ALLIANCE;20,00;1 666,67
15216051;7291050070508;REIFEN 500 / 50 R 17;149 D, TL, FLOTMASTER 381;ALLIANCE;;,00
15216106;8903635029465;REIFEN VF 445 / 50 R 22.5;167 D, TL, AGRIFLEX 381 +;ALLIANCE;;,00
15216131;8903635012672;REIFEN 620 / 40 R 22.5;148 D, TL, FLOTMASTER 381;ALLIANCE;6,00;3 067,19
15216142;8903635012993;REIFEN 620 / 50 R 22.5;161 D, TL, FLOTMASTER 381;ALLIANCE;2,00;3 358,99
15216211;8903635011668;REIFEN 560 / 45 R 22.5;152 D, TL, 885;ALLIANCE;10,00;1 980,99
15216225;#N/D;REIFEN 560 / 60 R 22.5;164 D, TL, 885;ALLIANCE;3,00;2 195,90
15216232;8903635013174;REIFEN 580 / 65 R 22.5;166 D, TL, 885;ALLIANCE;2,00;2 683,07
15216241;8903635013181;REIFEN 600 / 50 R 22.5;159 D, TL, 885;ALLIANCE;;,00
15216247;8903635019985;REIFEN 600 / 55 R 26.5;165 D, TL, 882;ALLIANCE;1,00;2 925,63
15216249;#N/D;REIFEN 650 / 50 R 22.5;163 D, TL, 885;ALLIANCE;4,00;2 834,63
15216250;#N/D;REIFEN 650 / 55 R 26.5;170 D, TL, 885;ALLIANCE;1,00;3 068,00
15216255;8903635015581;REIFEN 710 / 50 R 26.5;170 D, TL, 885;ALLIANCE;5,00;3 879,21
15216257;8903635015796;REIFEN 750 / 45 R 26.5;170 D, TL, 885;ALLIANCE;4,00;3 899,78
15216265;8903635015840;REIFEN 750 / 60 R 30.5;181 D, TL, 885;ALLIANCE;4,00;5 551,36
15217020;7291050059404;REIFEN 340 / 65 R 18;148 A8 / 145 E, TL, 571;ALLIANCE;2,00;1 246,62
15222040;8903635027577;REIFEN 6 - 14;4 PR, 66 A6, TT, FARMPRO 324;ALLIANCE;3,00;146,33
15222050;8903635001522;REIFEN 6.50 - 16;8 PR, 105 A6 / 101 A8, TT, AS, 324;ALLIANCE;10,00;219,91
15222051;8903635001515;REIFEN 6.50 - 16;6 PR, 99 A6, TT, AS, 324;ALLIANCE;4,00;196,96
15222052;#N/D;REIFEN 8 - 16;6 PR, 91 A6, TT, FARMPRO 324;ALLIANCE;;,00
15222077;8903635027492;REIFEN 8.3 - 20;6 PR, 96 A6, TT, FARMPRO 324;ALLIANCE;1,00;261,35
15222082;8903635014386;REIFEN 9.5 - 20;6 PR, 101 A8, TT, FARMPRO 324;ALLIANCE;1,00;335,62
15222154;8903635013884;REIFEN 8.3 - 24;8 PR, 105 A8, TT, FARMPRO 324;ALLIANCE;20,00;291,00
15222172;8903635013891;REIFEN 9.5 - 24;8 PR, 112 A8, TT, FARMPRO 324;ALLIANCE;1,00;358,38
15222182;7291050044363;REIFEN 11.2 / 10 - 24;10 PR, 125 A2 / 119 A8, TL, FORESTRY 356;ALLIANCE;2,00;1 543,90
15222191;8903635017660;REIFEN 11.2 - 24;8 PR, 116 A8, TT, FARMPRO 324;ALLIANCE;73,00;478,20
15222192;8903635013785;REIFEN 12.4 - 24;8 PR, 121 A8, TT, FARMPRO 324;ALLIANCE;4,00;569,35
15222197;8903635001096;REIFEN 12.4 / 11 - 24;12 PR, 129 A8, TT, AS, 357;ALLIANCE;;,00
15222198;7291050043922;REIFEN 13.6 - 24;10 PR, 136 A2 / 128 A8, TL, FORESTRY 356;ALLIANCE;2,00;2 071,69
15222211;8903635014720;REIFEN 13.6 - 24;8 PR, 123 A8, TT, FARMPRO 324;ALLIANCE;15,00;622,15
15222212;8903635002062;REIFEN 14.9 / 13 - 24;12 PR, 145 A8, TL, 533;ALLIANCE;4,00;968,52
15222213;8903635014737;REIFEN 14.9 - 24;8 PR, 128 A8, TT, FARMPRO 324;ALLIANCE;11,00;906,20
15222214;8903635020684;REIFEN 14.9 - 24;12 PR, 136 A8, TT, FARMPRO 324;ALLIANCE;10,00;907,41
15222262;8903635001942;REIFEN 16.9 / 14 - 24;8 PR, 133 A8, TL, GOLF 329;ALLIANCE;;,00
15222264;8903635001195;REIFEN 16.9 / 14 - 24;12 PR, 149 A8,  TL, 533;ALLIANCE;6,00;1 394,01
15222268;8903635000815;REIFEN 15.5 / 80 - 24;12 PR, 157 A6 / 154 A8, TL, AS 324;ALLIANCE;;,00
15222273;#N/D;REIFEN 15.5 / 80 - 24;12 PR, 157 A6 / 154 A8, TT,  533;ALLIANCE;28,00;1 223,28
15222285;8903635001232;REIFEN 19.5 L - 24;12 PR, TL, INDUSTRIE, 533;ALLIANCE;2,00;1 752,74
